Dimensão Nominal - Acima;Dimensão Nominal - Até e Inclusive;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamento Superior;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamentos Fundamentais;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior;Afastamento Inferior
50;65;-340;-190;-140;;-100;-60;;-30;;-10;0;;-7;-12;;2;0;11;20;32;41;53;66;87;102;122;144;172;226;300;405
65;80;-360;-200;-150;;-100;-60;;-30;;-10;0;;-7;-12;;2;0;11;20;32;43;59;75;102;120;146;174;210;274;360;480
80;100;-380;-220;-170;;-120;-72;;-36;;-12;0;;-9;-15;;3;0;13;23;37;51;71;91;124;146;178;214;258;335;445;585
100;120;-410;-240;-180;;-120;-72;;-36;;-12;0;;-9;-15;;3;0;13;23;37;54;79;104;144;172;210;254;310;400;525;690
120;140;-460;-260;-200;;-145;-85;;-43;;-14;0;;-11;-18;;3;0;15;27;43;63;92;122;170;202;248;300;365;470;620;800
140;160;-520;-280;-210;;-145;-85;;-43;;-14;0;;-11;-18;;3;0;15;27;43;65;100;134;190;228;280;340;415;535;700;900
160;180;-580;-310;-230;;-145;-85;;-43;;-14;0;;-11;-18;;3;0;15;27;43;68;108;146;210;252;310;380;465;600;780;1000
180;200;-660;-340;-240;;-170;-100;;-50;;-15;0;;-13;-21;;4;0;17;31;50;77;122;166;236;284;350;425;520;670;880;1150
200;225;-740;-380;-260;;-170;-100;;-50;;-15;0;;-13;-21;;4;0;17;31;50;80;130;180;258;310;385;470;575;740;960;1250
225;250;-820;-420;-280;;-170;-100;;-50;;-15;0;;-13;-21;;4;0;17;31;50;84;140;196;284;340;425;520;640;820;1050;1350
250;280;-920;-480;-300;;-190;-110;;-56;;-17;0;;-16;-26;;4;0;20;34;56;94;158;218;315;385;475;580;710;920;1200;1550
280;315;-1050;-540;-330;;-190;-110;;-56;;-17;0;;-16;-26;;4;0;20;34;56;98;170;240;350;425;525;650;790;1000;1300;1700
315;355;-1200;-600;-360;;-210;-125;;-62;;-18;0;;-18;-28;;4;0;21;37;62;108;190;268;390;475;590;730;900;1150;1500;1900
355;400;-1350;-680;-400;;-210;-125;;-62;;-18;0;;-18;-28;;4;0;21;37;62;114;208;294;435;530;660;820;1000;1300;1650;2100
400;450;-1500;-760;-440;;-230;-135;;-68;;-20;0;;-20;-32;;5;0;23;40;68;126;232;330;490;595;740;920;1100;1450;1850;2400
450;500;-1650;-840;-480;;-230;-135;;-68;;-20;0;;-20;-32;;5;0;23;40;68;132;252;360;540;660;820;1000;1250;1600;2100;2600
500;560;;;;;-260;-145;;-76;;-22;0;;;;;0;0;26;44;78;150;280;400;600;;;;;;;
560;630;;;;;-260;-145;;-76;;-22;0;;;;;0;0;26;44;78;155;310;450;660;;;;;;;
630;710;;;;;-290;-160;;-80;;-24;0;;;;;0;0;30;50;88;175;340;500;740;;;;;;;
710;800;;;;;-290;-160;;-80;;-24;0;;;;;0;0;30;50;88;185;380;560;840;;;;;;;
800;900;;;;;-320;-170;;-86;;-26;0;;;;;0;0;34;56;100;210;430;620;940;;;;;;;
900;1000;;;;;-320;-170;;-86;;-26;0;;;;;0;0;34;56;100;220;470;680;1050;;;;;;;
1000;1120;;;;;350;-195;;-98;;-28;0;;;;;0;0;40;66;120;250;520;780;1150;;;;;;;
1120;1250;;;;;350;-195;;-98;;-28;0;;;;;0;0;40;66;120;260;580;840;1300;;;;;;;
1250;1400;;;;;-390;-220;;110;;-30;0;;;;;0;0;48;78;140;300;640;960;1450;;;;;;;
1400;1600;;;;;-390;-220;;110;;-30;0;;;;;0;0;48;78;140;330;720;1050;1600;;;;;;;
1600;1800;;;;;-430;-240;;120;;-32;0;;;;;0;0;58;92;170;370;820;1200;1850;;;;;;;
1800;2000;;;;;-430;-240;;120;;-32;0;;;;;0;0;58;92;170;400;920;1350;2000;;;;;;;
2000;2240;;;;;-480;-260;;130;;-34;0;;;;;0;0;68;110;195;440;1000;1500;2300;;;;;;;
2240;2500;;;;;-480;-260;;130;;-34;0;;;;;0;0;68;110;195;460;1100;1650;2500;;;;;;;
2500;2800;;;;;-520;-290;;145;;-38;0;;;;;0;0;76;135;240;550;1250;1900;2900;;;;;;;
2800;3150;;;;;-520;-290;;145;;-38;0;;;;;0;0;76;135;240;580;1400;2100;3200;;;;;;;
